dataset,data preproc,type,classes,val_acc_mean,val_acc_sd,val_loss_mean,val_loss_sd,test_acc,test_loss,conf_score_mean,conf_score_sd,xgboost_acc,tes_no_epochs,
GUT bacteria ,,both timepoints ,3,0.45,0.118,1.0971,0.0131,0.3,1.1231,0.0725,0.0592,,,
GUT bacteria ,no,5 class ,5,0.5763,0.0643,1.6555,0.2968,0.68,0.9971,626.3913,4890.3458,0.56,,
GUT bacteria ,no,3 class,3,0.6668,0.0863,1.3939,0.2454,0.84,0.4576,15001.9569,120013.3646,0.64,,
GUT bacteria ,no,2 class,2,0.7474,0.045,0.9036,0.3514,0.84,1.6301,1375.5519,9169.1222,0.84,,
GUT bacteria ,no,5 class CNN ,5,0.43,0.1208,2.1331,0.3996,0.3600000143,1.517732143,171.8126,1468.0694,,,
GUT bacteria ,no,3 class CNN,3,0.6974,0.0277,1.2846,0.1161,0.7200000286,0.9543982148,1686.4485,11750.1311,,120,
GUT bacteria ,no,2 class CNN ,2,0.7574,0.1359,0.8185,0.3969,0.621647954,0.8399999738,346.8234,1611.5485,,,
GUT bacteria ,embeding,5 class ,5,0.5263,0.1215,2.3562,0.7603,0.8399999738,0.9046056271,592.0322,2535.2774,,,
GUT bacteria ,embeding,3 class,3,0.6568,0.0848,1.559,0.3177,0.8000000119,0.7163352966,87767.9269,861310.0154,,,
GUT bacteria ,embeding,2 class ,2,0.7563,0.0852,1.1182,0.3867,0.8399999738,0.48033306,82268.375,765434.3452,,,
GUT bacteria ,embeding,5 class CNN,5,0.4737,0.1173,1.8016,0.1101,0.5199999809,1.493044376,17.6935,50.5357,,,
GUT bacteria ,embeding,3 class CNN,3,0.6058,0.081,1.1529,0.1945,0.7599999905,0.72202456,5.1253,10.256,,,
GUT bacteria ,embeding,2 class CNN,2,0.7368,0.0411,0.7882,0.1916,0.6800000072,0.7119148374,6.1253,15780.2136,,,500 cv epochs
GUT bacteria ,pca,5 class ,5,0.5958,0.0952,1.8565,0.4417,0.6000000238,1.38291502,173.1441,528.7282,,,
GUT bacteria ,pca,3 class,3,0.6868,0.0799,1.2915,0.4182,0.7599999904632568,1.2552684545516968,2760.0607,10242.9896,,,
GUT bacteria ,pca,2 class,2,0.7668,0.0639,0.9137,0.2511,0.8399999737739563,0.9041380882263184,148894.1943,1033981.1026,,,
GUT bacteria ,pca,5 class CNN,5,0.3242,0.0484,2.5107,0.4655,0.4799999893,1.912791014,38.3312,198.4573,,,
GUT bacteria ,pca,3 class CNN,3,0.5653,0.0942,2.0783,0.3239,0.7200000286102295,1.0268065929412842,1503.0097,7537.4701,,,
GUT bacteria ,pca,2 class CNN,2,0.7058,0.12,1.2944,0.6254,0.800000011920929,0.652021586894989,849.0384,2337.7265,,,
