,feature,shapiro_pval,shapiro_pval_log,shapiro_pval_exp,tt_pval
0,0,1.091399225426084e-20,1.091399225426084e-20,1.091399225426084e-20,
1,1,2.642288970949055e-22,2.642288970949055e-22,2.642288970949055e-22,
2,2,3.906397665909238e-18,3.847326216824989e-18,3.9513284624218934e-18,
3,3,1.7196545480869163e-15,1.591691692558433e-15,1.819708832673673e-15,
4,4,8.70922240982187e-15,8.070411336826358e-15,9.17481778620272e-15,
5,5,1.8063297884531135e-16,1.8063297884531135e-16,1.8063297884531135e-16,
6,6,6.859752349486214e-11,1.1099269073278073e-11,2.727285897119458e-10,
7,7,5.390739153935378e-19,5.390739153935378e-19,5.390739153935378e-19,
8,8,6.494829023093342e-18,6.6429233040617735e-18,6.361384110773225e-18,
9,9,2.729058833859384e-20,2.0496215644375636e-20,3.4619657366232285e-20,
10,10,2.642264232271067e-22,2.642264232271067e-22,2.642264232271067e-22,
11,11,8.869402112834358e-20,8.869402112834358e-20,8.869402112834358e-20,
12,12,1.0,1.0,1.0,0.0
13,13,2.642264232271067e-22,2.642264232271067e-22,2.642264232271067e-22,
14,14,0.003676429856568575,0.0016102079534903169,0.005152808967977762,
15,15,1.0914187740304041e-20,1.0914187740304041e-20,1.0914187740304041e-20,
16,16,2.0995768514769092e-21,2.0995768514769092e-21,2.0995768514769092e-21,
17,17,5.610799097468394e-14,5.412009273890461e-14,5.753306631019889e-14,
18,18,1.0535561756341849e-07,3.596161235464024e-08,2.2626515772117273e-07,
19,19,1.0,1.0,1.0,0.0
20,20,2.692042248841897e-11,5.841967968406303e-12,8.466226331105275e-11,
21,21,8.136179605123908e-22,8.136179605123908e-22,8.136179605123908e-22,
22,22,2.16043369717471e-13,1.9272371242287645e-13,2.3499268936993944e-13,
23,23,4.59880919424175e-14,4.0644831928284345e-14,5.039935482842317e-14,
24,24,2.099538683230871e-21,2.099538683230871e-21,2.099538683230871e-21,
25,25,2.504637463531645e-20,1.875593749548917e-20,3.174186693459189e-20,
26,26,4.0478835561241766e-11,3.7430458038612e-11,4.277179305178791e-11,
27,27,1.9633111802974668e-10,1.1057568055639067e-10,3.0038266318754836e-10,
28,28,2.8453150946461392e-08,2.734537396520409e-08,2.872312343527028e-08,
29,29,2.642288970949055e-22,2.642288970949055e-22,2.642288970949055e-22,
30,30,8.186226869988378e-12,8.112776075930306e-12,8.057846924425238e-12,
31,31,9.981924904423067e-07,6.47965691769059e-07,1.3080539247312117e-06,
32,32,3.0317937548627796e-19,3.0317937548627796e-19,3.0317937548627796e-19,
33,33,2.927075899369913e-12,2.2806040909928438e-12,3.516612565382382e-12,
34,34,1.9161754405416787e-09,1.0372669390079636e-09,2.991100478411113e-09,
35,35,2.642264232271067e-22,2.642264232271067e-22,2.642264232271067e-22,
36,36,1.0,1.0,1.0,0.0
37,37,1.091399225426084e-20,1.091399225426084e-20,1.091399225426084e-20,
38,38,2.0995768514769092e-21,2.0995768514769092e-21,2.0995768514769092e-21,
39,39,8.136179605123908e-22,8.136179605123908e-22,8.136179605123908e-22,
40,40,2.642264232271067e-22,2.642264232271067e-22,2.642264232271067e-22,
41,41,1.0,1.0,1.0,0.0
42,42,1.0,1.0,1.0,0.0
43,43,2.642264232271067e-22,2.642264232271067e-22,2.642264232271067e-22,
44,44,2.0995768514769092e-21,2.0995768514769092e-21,2.0995768514769092e-21,
45,45,1.8813997625801694e-18,1.867433438322671e-18,1.8855402151363036e-18,
46,46,6.208817097605457e-13,1.4351901286326074e-13,1.97339800750429e-12,
47,47,1.3588207095482913e-16,1.3156913800608784e-16,1.3919251394071535e-16,
48,48,7.376802660225457e-22,7.318441594497503e-22,7.424696235938725e-22,
49,49,1.0,1.0,1.0,0.0
