KEGG,S8.127.H2O,S8.128.H2O,S8.126.H2O,S9.173.H2O,S9.172.H2O,S9.171.H2O,S10.158.H2O,S10.156.H2O,S10.157.H2O,S11.188.H2O,S11.186.H2O,S11.187.H2O,S12.141.H2O,S12.143.H2O,S12.142.H2O,S13.176.H2O,S13.175.H2O,S13.174.H2O,S14.131.H2O,S14.130.H2O,S14.129.H2O,S15.189.H2O,S15.191.H2O,S15.190.H2O,S16.145.H2O,S16.144.H2O,S16.146.H2O,S17.179.H2O,S17.178.H2O,S17.177.H2O,S18.134.H2O,S18.133.H2O,S19.149.H2O,S19.147.H2O,S19.148.H2O,S20.181.H2O,S20.182.H2O,S20.180.H2O,S21.160.H2O,S21.161.H2O,S21.159.H2O,S22.194.H2O,S22.193.H2O,S22.192.H2O,S23.151.H2O,S23.150.H2O,S23.152.H2O,S24.137.H2O,S24.136.H2O,S24.135.H2O,S25.195.H2O,S25.196.H2O,S25.197.H2O,S26.153.H2O,S26.154.H2O,S26.155.H2O,S27.183.H2O,S27.185.H2O,S27.184.H2O,S28.162.H2O,S28.163.H2O,S28.164.H2O,S29.139.H2O,S29.140.H2O,S30.165.H2O,S30.166.H2O,S30.167.H2O,S31.200.H2O,S31.199.H2O,S31.198.H2O,S32.168.H2O,S32.170.H2O,S32.169.H2O
ko05340,7796.58,7358.46,6073.5,3717.56,9672.35,7708.3,5327.16,5761.41,6595.54,4212.58,13614.01,8229.35,3433.33,3383.76,3858.75,5924.31,7392.16,9688.18,19804.96,4951.16,8701.42,10177.75,8002.93,7922.08,5747.83,12100.66,3974.91,5669.99,3014.42,10915.5,2905.6,4325.26,4611.83,6156.75,7229,5955.49,10279.92,5855.33,9040.52,8693.18,8049.17,14301.26,5841.51,7116.75,6663.84,3113.5,6995.66,7229.85,5151.58,13354,13696.74,11514.53,10678.68,15366.83,4368.25,5771.23,22644.75,6198.25,9994.82,15262,6388.58,6778.75,6679.99,6027.67,16221.75,10541.91,5627.02,10333.67,10545.02,9665,15331.25,10540.9,7770.66
ko00564,89529.66,91213.27,64366.77,34228.73,111143.13,105175.45,60121.19,67015.74,84352.8,50310.19,208662.03,101574.27,42548.62,42355.09,58043,50037.73,91374.53,111325.77,185243.43,56734.02,121083.63,118752,91348.98,113809.08,66067.08,128351.56,38582.64,46274.33,34022.85,100243,28366.91,45389.25,46513.62,54122,71804.47,71834.74,92865.88,69633.12,117326.68,87464.32,91239.09,130307.91,64479.68,82315.78,68590.2,34310.75,77455.44,79500.38,63182.02,151360.48,141741.89,141642.08,124679.13,136021.62,61616.55,62174.1,209609.75,62912.28,133601.34,181155.27,92492.88,76937.19,65295.37,58051.33,117317.5,128035.5,53039.49,98918.84,126686.86,105618.25,165634.77,117651.6,93997.45
ko00680,160055.28,158115.18,108494.35,58283.03,192784.75,166035.9,94181.1,104655.61,139964.63,81383.2,303289.24,177959.26,66656.93,65991.7,95336.25,93451.78,146428.53,181436.28,317250.68,93510.77,191045.82,182478.75,145233.06,185379.96,108612.46,196054.63,65837.55,78277.46,55334.97,164392.5,54303.43,79433.21,76986.43,89875.75,124393.34,118312.98,153961.82,108925.93,196419.12,156379.54,148152.37,220182.98,107703.68,137312.16,123850.57,55907,119686.1,135963.87,117928.13,249499.65,226207.61,236951.81,206837.03,233272.43,106087.01,106187.85,360090.5,107146.91,219022.54,282499.85,156374.97,131512.7,113596.69,98132.31,208511.25,204727.17,96751.87,169239.87,218371.56,161252,263903.6,201917.23,165505.66
ko00562,25823.92,26196.54,17731.16,10041.02,32941.22,27540.97,16930.17,19831.57,21186.65,13961.25,48098.36,27553.38,11872.16,11764.12,15499.75,16945.89,21859.41,29606.61,48990.51,15153.31,30691.34,29389.75,25592.29,27148.09,17885.66,33603.91,12150.05,13092.37,8548.79,28513.5,9346.12,14583.68,9951.16,16161.75,21798.01,19390.31,24841.09,17409.16,29109.77,25257.51,24184.52,36461.96,16857.09,21612.74,25463.95,9738.25,18614.92,23683.69,16043.39,38208.09,39728.75,36672.9,35340.02,35150.66,15711.9,16877.19,52939,21545.74,35584.87,46446.16,26237.24,21981.77,19715.97,16834.69,41698.25,31694.65,19436.88,28720.52,33603.55,27302,43110.91,37517.52,25616.75
ko03030,110647.68,109971.2,80175.45,40347.45,133548.94,129398.4,80332.7,77521.42,105370.61,60963.61,255682.82,125330.76,52902.96,47110.4,69384.5,60594.63,112283.2,136641.91,244957,71580.19,153576.79,147633,112119.57,138304.12,78919.43,151807.57,49142.31,61121.65,40615.04,139624,37458.39,52588.07,59082.46,64019.5,88197.48,87019.42,116533.54,84668.46,135924.84,99677.13,115474.39,170129.26,80191.96,110740.27,80091.54,42298.25,89965.95,93596.55,77497.06,207174.8,190571.38,175611.22,152166.61,182703.46,71049.72,74530.3,308712,75889.52,157742.21,225445.45,108428.59,89148.65,77881.74,70012.32,173717.5,156296.99,68403.88,115791.14,157080.38,125769.25,225542.95,138788.61,113686.27
ko00561,52317.48,50663.96,35559.13,23181.49,64199.99,61008.06,39959.85,41361.62,48254.22,30311.58,127185.29,60530.65,25880.81,25374.3,34006.5,35353.87,56225.36,67786.51,110671.41,31677.26,67642.94,74846.5,59399.11,65042.41,37993.74,80357.89,21705.55,27984.97,18830.94,59652,20127.17,27815.74,28998.31,33122,40286.11,41625.08,54573.69,41122.31,66942.32,54518.78,55412.18,78894.32,38557.97,52457.14,45858.6,21013.25,42498.1,41089.87,35314.99,92054.12,89920.69,82375.27,65832.93,81159.31,36021.77,37256.56,129509.5,37315.89,80015.78,109951.13,53790.93,38652.61,38951.27,35047.92,69237.5,74244.38,34420.15,57565.93,74805.13,64827.75,101324.13,65941.93,56412.11
ko00440,7806.99,7552.93,5673.83,3702.19,6561.47,6569.82,6496.5,5712.16,5504.29,4665.58,18575.85,8545.19,2923.33,3333.35,3493.5,4962.78,8288.98,8273.68,19532.36,3515.99,7514.92,12040,10384.35,7582.75,5295.8,12412.91,3910.65,5754.75,2853.5,12169,3179.27,3437.25,5967.83,4302.5,4717.92,5557.8,10049.17,6301.33,9320.17,8761.59,8856.26,15797.26,5437.09,9334.33,4502.68,2431.75,7186.75,6605.19,5318.48,15591.42,14621.83,11763.35,11050.92,16889.83,4140.66,5367.32,27548,5734.58,10834.88,19255.33,6672.66,6421.51,4971.48,5745.51,16129.5,11072.41,5725.01,9012.51,9869.33,10559.25,15949.83,10242.73,7327.25
ko00250,144411.33,138930.09,100291.1,60248,192290.41,178668.85,100116.48,103089,144436.68,78102.65,315228.4,164766.26,69209.25,68506.23,100404.5,92602.86,148071.9,177690,317282.26,95949.42,201467.75,194295.5,148481.01,192956.01,104520.75,201949.65,63749.09,80608.86,50858.75,183292,55231.4,70989.32,76210.75,85584.5,114832.08,118376.1,157458.25,107591.25,176701.77,143517.52,143844.05,227156.56,106990.99,138425.42,114905.66,52590.5,120382.98,120158.6,98826.52,264831.9,236551.7,222851.55,193271.07,223867.75,89431.52,96017.4,387393.25,100226.17,203085.82,282879.1,139165.03,114194.2,104866.65,93935.73,226573,201799.82,92590.94,150582.05,199944.2,172469.5,280997.6,183250.04,146938.3
ko04062,12,0,0,0,12,0,2,0,12,0,0,0,0,28,0,3,26,16,58,0,27,11,10,0,0,0,0,0,0,0,0,0,0,0,12,30,0,12,0,0,39,0,22,23,0,0,0,4,0,8,10,0,0,11,16,13,0,11,0,23,11,0,16,0,0,38,0,0,0,0,0,0,11
ko00740,35140.09,36512.89,24319.98,13488.39,42569.69,39579.27,23188.18,23926.39,32422.11,19090.25,77529.9,39045.76,15831.32,14675.33,21423.75,19281.75,34425.91,42477.97,72007.32,21865.12,46291.68,47000.25,34230.24,42782.34,24516.82,50434.57,14653.51,18910.59,12971.43,40520.5,12512.71,17470.33,19218.32,20450.25,28272.27,26821.15,36584.43,26633.82,44410.33,34075.93,35511.97,52805.89,25247.27,32572.73,25221.9,12758.25,27191.43,29193.67,25100.32,60607.27,57711.43,54936.24,46899.26,57840.32,23347.71,24119.51,90106,22963.73,49854.68,71123.48,35084.05,27949.31,25189.63,22545.22,52501.75,49104.14,21203.61,37385.72,48779.67,42289.75,69167.73,43352.23,36365.43
