# Constructed from biom file
#OTU ID,S14.10.Gut.S14,S18.11.Gut.S18,S18.12.Gut.S18,S18.13.Gut.S18,S18.14.Gut.S18,S18.15.Gut.S18,S24.16.Gut.S24,S24.17.Gut.S24,S24.18.Gut.S24,S24.19.Gut.S24,S24.20.Gut.S24,S29.21.Gut.S29,S29.22.Gut.S29,S29.23.Gut.S29,S29.24.Gut.S29,S29.25.Gut.S29,S12.26.Gut.S12,S12.27.Gut.S12,S12.28.Gut.S12,S12.29.Gut.S12,S8.2.Gut.S8,S12.30.Gut.S12,S16.31.Gut.S16,S16.32.Gut.S16,S16.33.Gut.S16,S16.34.Gut.S16,S16.35.Gut.S16,S19.36.Gut.S19,S19.37.Gut.S19,S19.38.Gut.S19,S19.39.Gut.S19,S8.3.Gut.S8,S19.40.Gut.S19,S23.41.Gut.S23,S23.42.Gut.S23,S23.43.Gut.S23,S23.44.Gut.S23,S23.45.Gut.S23,S26.46.Gut.S26,S26.47.Gut.S26,S26.48.Gut.S26,S26.49.Gut.S26,S8.4.Gut.S8,S26.50.Gut.S26,S8.5.Gut.S8,S14.6.Gut.S14,S14.7.Gut.S14,S14.8.Gut.S14,S14.9.Gut.S14
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,989.0,307.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae,17.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,8.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,21.0,0.0,163.0,5.0,2.0,21.0,11.0,2.0,0.0,0.0,0.0,3.0,0.0,42.0,61.0,0.0,0.0,0.0,0.0,76.0,4.0,20.0,0.0,0.0,40.0,0.0,28.0,1.0,324.0,145.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,55.0,39.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,15.0,221.0,131.0,15.0,26.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,26.0,62.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,33.0,12.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae,0.0,20.0,22.0,45.0,41.0,58.0,9.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,17.0,32.0,20.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,114.0,25.0,10.0,0.0,0.0,0.0,0.0,21.0,0.0,87.0,0.0,19.0,1.0,162.0,71.0,10.0,132.0,56.0
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,6.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,44.0
d__Bacteria;p__Firmicutes;c__Bacilli;__;__,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,21.0,0.0,18.0,37.0,0.0,0.0,9.0,0.0,17.0,3.0,0.0,2.0,0.0,0.0,27.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,6.0,0.0,13.0,16.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,55.0,58.0,190.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,10.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,47.0,15.0,0.0,0.0,0.0,0.0,13.0,1.0,23.0,0.0,0.0,0.0,0.0,37.0,10.0,539.0,214.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,186.0,16.0,50.0,53.0,24.0,63.0,601.0,89.0,196.0,790.0,601.0,462.0,111.0,1439.0,706.0,108.0,258.0,220.0,383.0,824.0,173.0,1413.0,403.0,66.0,513.0,71.0,264.0,5.0,171.0,1174.0,94.0,414.0,711.0,45.0,7.0,42.0,4.0,71.0,1003.0,162.0,281.0,1027.0,112.0,990.0,219.0,758.0,252.0,2002.0,2153.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,12.0,8.0,11.0,11.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,109.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,2.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,2.0,151.0,0.0,0.0,4.0,16.0,0.0,20.0,95.0,123.0,106.0,282.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,170.0,610.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae,7.0,3.0,9.0,4.0,3.0,5.0,0.0,0.0,543.0,0.0,0.0,42.0,0.0,629.0,83.0,8.0,39.0,0.0,0.0,0.0,1707.0,0.0,3455.0,2533.0,2893.0,5664.0,791.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.0,38.0,202.0,0.0,0.0,4.0,1957.0,255.0,0.0,1438.0,0.0,3342.0,0.0,3.0,6.0,34.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae,136.0,0.0,0.0,0.0,0.0,0.0,62.0,1347.0,0.0,46.0,26.0,23.0,4243.0,166.0,92.0,107.0,10.0,28.0,100.0,22.0,0.0,19.0,2.0,0.0,126.0,2.0,149.0,0.0,12.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,20.0,0.0,553.0,48.0,3360.0,51.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__RsaHf231;f__RsaHf231,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,41.0,15.0,0.0,35.0,0.0,0.0,2.0,46.0,0.0,0.0,49.0,0.0,0.0,0.0,2.0,40.0,0.0,19.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,115.0,5.0,14.0,7.0,718.0,78.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,248.0,9.0,85.0,0.0,4.0,5.0,75.0,98.0,238.0,7.0,61.0,113.0,479.0,105.0,329.0,106.0,84.0,85.0,251.0,88.0,36.0,55.0,10.0,207.0,46.0,7.0,88.0,16.0,36.0,61.0,62.0,2.0,37.0,56.0,52.0,73.0,38.0,41.0,176.0,256.0,290.0,81.0,183.0,51.0,1.0,272.0,700.0,36.0,300.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,13.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,14.0,10.0,3.0,4.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae,171.0,2.0,9.0,74.0,33.0,0.0,275.0,285.0,196.0,904.0,362.0,1074.0,764.0,967.0,367.0,272.0,462.0,187.0,20.0,32.0,69.0,211.0,0.0,0.0,0.0,0.0,45.0,6.0,13.0,389.0,169.0,24.0,4.0,235.0,32.0,34.0,0.0,33.0,1610.0,345.0,819.0,1175.0,94.0,225.0,33.0,660.0,1222.0,196.0,357.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,8.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__,9.0,3.0,34.0,0.0,42.0,9.0,16.0,10.0,19.0,602.0,137.0,13.0,158.0,273.0,624.0,3719.0,0.0,0.0,0.0,30.0,87.0,0.0,2.0,0.0,47.0,20.0,65.0,21.0,5.0,7.0,128.0,0.0,29.0,42.0,0.0,3.0,6.0,3.0,72.0,0.0,550.0,18.0,0.0,386.0,0.0,70.0,31.0,60.0,2.0
