# Constructed from biom file
#OTU ID,S27.100.Gut.S27,S10.51.Gut.S10,S10.52.Gut.S10,S10.53.Gut.S10,S10.54.Gut.S10,S10.55.Gut.S10,S21.56.Gut.S21,S21.57.Gut.S21,S21.58.Gut.S21,S21.59.Gut.S21,S21.60.Gut.S21,S28.61.Gut.S28,S28.62.Gut.S28,S28.63.Gut.S28,S28.64.Gut.S28,S28.65.Gut.S28,S30.66.Gut.S30,S30.67.Gut.S30,S30.68.Gut.S30,S30.69.Gut.S30,S30.70.Gut.S30,S32.71.Gut.S32,S32.72.Gut.S32,S32.73.Gut.S32,S32.74.Gut.S32,S32.75.Gut.S32,S9.76.Gut.S9,S9.77.Gut.S9,S9.78.Gut.S9,S9.79.Gut.S9,S9.80.Gut.S9,S13.81.Gut.S13,S13.82.Gut.S13,S13.83.Gut.S13,S13.84.Gut.S13,S13.85.Gut.S13,S17.86.Gut.S17,S17.87.Gut.S17,S17.88.Gut.S17,S17.89.Gut.S17,S17.90.Gut.S17,S20.91.Gut.S20,S20.92.Gut.S20,S20.93.Gut.S20,S20.94.Gut.S20,S20.95.Gut.S20,S27.96.Gut.S27,S27.97.Gut.S27,S27.98.Gut.S27,S27.99.Gut.S27
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;__,24.0,0.0,22.0,12.0,7.0,44.0,0.0,45.0,0.0,0.0,24.0,4.0,0.0,0.0,2.0,7.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,0.0,163.0,69.0,191.0,44.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,0.0,28.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15,47.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,20.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured,137.0,0.0,0.0,6.0,18.0,40.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,0.0,2.0,53.0,0.0,32.0,1.0,1.0,32.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,5.0,0.0,34.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14,2.0,0.0,14.0,3.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae,150.0,4.0,139.0,76.0,160.0,95.0,3.0,397.0,43.0,0.0,146.0,120.0,80.0,100.0,13.0,234.0,3.0,17.0,0.0,0.0,0.0,0.0,77.0,2.0,55.0,0.0,8.0,45.0,16.0,30.0,0.0,581.0,55.0,301.0,137.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,66.0,0.0,254.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,14.0,0.0,17.0,2.0,19.0,7.0,0.0,6.0,0.0,4.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,62.0,95.0,94.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,19.0,7.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae,16.0,10.0,5.0,3.0,18.0,14.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,48.0,9.0,12.0,8.0,18.0,98.0,56.0,625.0,0.0,20.0,0.0,20.0,0.0,12.0,1.0,0.0,5.0,0.0,0.0,12.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,5.0,163.0,48.0,8.0,2.0,0.0,0.0,48.0,31.0,41.0,181.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,25.0,26.0,33.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,28.0,4.0,26.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae,64.0,5.0,9.0,18.0,42.0,5.0,61.0,387.0,221.0,109.0,527.0,3.0,4.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,32.0,81.0,1.0,127.0,90.0,175.0,123.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,2.0
