# Constructed from biom file
#OTU ID,S8.128.H2O.S8,S14.131.H2O.S14,S18.134.H2O.S18,S24.137.H2O.S24,S29.140.H2O.S29,S10.158.H2O.S10,S21.161.H2O.S21,S28.164.H2O.S28,S30.167.H2O.S30,S32.170.H2O.S32
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae,0.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae,0.0,161.0,0.0,12.0,16.0,181.0,12.0,0.0,1.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured,0.0,172.0,0.0,11.0,12.0,18.0,59.0,2.0,0.0,21.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,201.0,574.0,35.0,144.0,224.0,37.0,154.0,130.0,484.0,475.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae,6.0,171.0,8.0,146.0,447.0,194.0,96.0,45.0,0.0,41.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,56.0,232.0,0.0,63.0,22.0,20.0,45.0,8.0,14.0,0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15,0.0,197.0,0.0,0.0,32.0,0.0,10.0,0.0,0.0,12.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__uncultured;f__uncultured,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,14.0,0.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,0.0,119.0,0.0,0.0,29.0,35.0,0.0,1.0,1.0,3.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae,10.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,11.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae,155.0,35.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,62.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae,200.0,568.0,115.0,41.0,129.0,1349.0,178.0,121.0,189.0,263.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae,0.0,122.0,0.0,10.0,0.0,126.0,29.0,35.0,14.0,13.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae,45.0,238.0,150.0,137.0,128.0,94.0,262.0,139.0,71.0,218.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae,4.0,280.0,12.0,25.0,38.0,55.0,43.0,45.0,16.0,5.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,175.0,3387.0,224.0,238.0,445.0,586.0,159.0,58.0,806.0,204.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group,0.0,71.0,0.0,52.0,11.0,11.0,14.0,10.0,0.0,4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group,5.0,179.0,0.0,16.0,0.0,79.0,28.0,10.0,2.0,8.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae,91.0,10.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
