# Constructed from biom file
#OTU ID,S8.127.H2O.S8,S14.130.H2O.S14,S18.133.H2O.S18,S24.136.H2O.S24,S29.139.H2O.S29,S9.172.H2O.S9,S13.175.H2O.S13,S17.178.H2O.S17,S20.181.H2O.S20,S27.184.H2O.S27
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae,0.0,21.0,0.0,0.0,0.0,15.0,0.0,0.0,18.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae,65.0,40.0,44.0,10.0,193.0,277.0,88.0,4.0,61.0,23.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured,0.0,13.0,0.0,18.0,0.0,100.0,44.0,0.0,43.0,9.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,183.0,111.0,322.0,135.0,385.0,574.0,90.0,21.0,242.0,330.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae,280.0,6.0,123.0,171.0,23.0,5.0,10.0,30.0,27.0,341.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,113.0,13.0,68.0,2.0,52.0,49.0,0.0,5.0,2.0,28.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,8.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15,10.0,423.0,20.0,0.0,406.0,1244.0,187.0,87.0,177.0,29.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured,0.0,62.0,108.0,73.0,11.0,110.0,77.0,0.0,162.0,149.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14,0.0,0.0,0.0,0.0,11.0,70.0,0.0,2.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,13.0,41.0
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,0.0,12.0,0.0,11.0,21.0,11.0,0.0,30.0,0.0,56.0
d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae,534.0,479.0,375.0,369.0,184.0,296.0,716.0,141.0,546.0,1584.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae,60.0,127.0,0.0,0.0,0.0,2.0,38.0,2.0,49.0,38.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__uncultured,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae,0.0,18.0,0.0,13.0,16.0,6.0,66.0,0.0,89.0,35.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae,0.0,0.0,0.0,0.0,0.0,19.0,23.0,0.0,0.0,17.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae,216.0,2.0,0.0,75.0,40.0,254.0,20.0,50.0,71.0,146.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae,266.0,93.0,28.0,72.0,34.0,9.0,276.0,66.0,36.0,94.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,318.0,208.0,25.0,413.0,270.0,384.0,648.0,94.0,325.0,370.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group,75.0,48.0,27.0,65.0,0.0,0.0,21.0,0.0,13.0,33.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__AKYH767,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__LiUU-11-161,0.0,0.0,24.0,0.0,0.0,3.0,17.0,2.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group,10.0,43.0,0.0,10.0,0.0,0.0,19.0,22.0,11.0,28.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae,2.0,48.0,0.0,36.0,0.0,67.0,96.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17,14.0,21.0,12.0,0.0,0.0,0.0,43.0,3.0,8.0,87.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales,0.0,20.0,0.0,12.0,0.0,5.0,2.0,0.0,53.0,13.0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae,0.0,0.0,0.0,16.0,0.0,0.0,37.0,5.0,0.0,0.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20,75.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured,0.0,0.0,16.0,0.0,0.0,29.0,3.0,0.0,0.0,0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,10.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae,13.0,0.0,0.0,0.0,12.0,11.0,10.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast,475.0,32.0,13.0,26.0,0.0,5.0,181.0,88.0,36.0,20.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae,0.0,0.0,0.0,0.0,23.0,35.0,24.0,0.0,12.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae,0.0,41.0,0.0,0.0,125.0,155.0,41.0,0.0,0.0,0.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae,0.0,0.0,0.0,0.0,0.0,10.0,38.0,21.0,0.0,21.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae,52.0,0.0,0.0,0.0,106.0,129.0,743.0,46.0,24.0,10.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae,0.0,0.0,0.0,0.0,55.0,43.0,43.0,0.0,0.0,0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Blfdi19;f__Blfdi19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae,0.0,81.0,0.0,32.0,31.0,87.0,1.0,10.0,6.0,230.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae,0.0,8.0,39.0,53.0,63.0,22.0,101.0,19.0,24.0,197.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae,160.0,676.0,86.0,128.0,389.0,1991.0,528.0,20.0,673.0,164.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae,0.0,0.0,0.0,0.0,16.0,31.0,24.0,0.0,31.0,10.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,12.0,13.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae,0.0,2.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae,0.0,0.0,10.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,30.0,41.0,20.0,53.0,93.0,44.0,148.0,11.0,46.0,186.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis,33.0,27.0,0.0,9.0,104.0,159.0,37.0,9.0,28.0,97.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,0.0,12.0,0.0,11.0,2.0,2.0,0.0,2.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__,0.0,55.0,0.0,0.0,33.0,0.0,0.0,0.0,18.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,96.0,1.0,38.0,67.0,22.0,15.0,10.0,47.0,50.0,142.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,1174.0,455.0,493.0,512.0,639.0,528.0,658.0,388.0,322.0,1017.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,783.0,755.0,772.0,577.0,1159.0,1162.0,888.0,683.0,817.0,1172.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__MWH-UniP1_aquatic_group,0.0,3.0,0.0,0.0,0.0,0.0,28.0,0.0,11.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae,808.0,173.0,544.0,896.0,141.0,150.0,442.0,291.0,256.0,1478.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae,0.0,6.0,0.0,0.0,0.0,56.0,31.0,0.0,42.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,37.0,20.0,49.0,13.0,11.0,55.0,98.0,2.0,22.0,71.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae,640.0,21.0,76.0,549.0,0.0,124.0,0.0,5.0,10.0,183.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,0.0,23.0,0.0,0.0,0.0,149.0,81.0,0.0,36.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family,32.0,96.0,0.0,12.0,33.0,6.0,37.0,0.0,126.0,120.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae,0.0,12.0,12.0,11.0,10.0,99.0,40.0,4.0,280.0,42.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae,1063.0,86.0,375.0,1516.0,47.0,183.0,343.0,138.0,689.0,1109.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae,127.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,0.0,0.0,0.0,0.0,52.0,0.0,13.0,0.0,0.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__R7C24;f__R7C24,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae,22.0,0.0,49.0,51.0,17.0,0.0,12.0,223.0,13.0,239.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,0.0,0.0,0.0,0.0,16.0,0.0,5.0,10.0,0.0,4.0
d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Simkaniaceae,0.0,21.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae,0.0,291.0,28.0,96.0,67.0,271.0,24.0,55.0,208.0,420.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae,0.0,43.0,0.0,1.0,0.0,39.0,0.0,0.0,10.0,13.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae,0.0,21.0,0.0,0.0,0.0,10.0,1.0,0.0,56.0,0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae,0.0,3.0,0.0,30.0,0.0,113.0,118.0,0.0,0.0,20.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae,0.0,17.0,25.0,9.0,0.0,0.0,10.0,3.0,24.0,102.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Rubritaleaceae,0.0,3.0,0.0,0.0,0.0,28.0,50.0,103.0,176.0,302.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,0.0,21.0,23.0,63.0,140.0,102.0,193.0,120.0,84.0,485.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__uncultured;f__uncultured,423.0,222.0,39.0,76.0,141.0,103.0,743.0,139.0,375.0,394.0
