# Constructed from biom file
#OTU ID,S8.127.H2O.S8,S14.130.H2O.S14,S18.133.H2O.S18,S24.136.H2O.S24,S29.139.H2O.S29,S11.187.H2O.S11,S15.190.H2O.S15,S22.193.H2O.S22,S25.196.H2O.S25,S31.199.H2O.S31
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae,0.0,21.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae,65.0,40.0,44.0,10.0,193.0,1.0,115.0,113.0,106.0,96.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichaceae,0.0,0.0,32.0,0.0,0.0,14.0,0.0,0.0,0.0,29.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured,0.0,13.0,0.0,18.0,0.0,24.0,11.0,26.0,15.0,44.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,183.0,111.0,322.0,135.0,385.0,288.0,92.0,96.0,103.0,201.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;__,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,3.0,0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae,280.0,6.0,123.0,171.0,23.0,243.0,217.0,5.0,583.0,412.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,113.0,13.0,68.0,2.0,52.0,0.0,0.0,0.0,44.0,0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15,10.0,423.0,20.0,0.0,406.0,78.0,68.0,181.0,40.0,135.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured,0.0,62.0,108.0,73.0,11.0,70.0,27.0,20.0,79.0,208.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae,0.0,0.0,0.0,0.0,0.0,88.0,10.0,0.0,16.0,218.0
