# Constructed from biom file
#OTU ID,S12.143.H2O.S12,S16.146.H2O.S16,S19.149.H2O.S19,S23.152.H2O.S23,S26.155.H2O.S26,S10.158.H2O.S10,S21.161.H2O.S21,S28.164.H2O.S28,S30.167.H2O.S30,S32.170.H2O.S32
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae,0.0,15.0,65.0,3.0,18.0,181.0,12.0,0.0,1.0,0.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured,5.0,14.0,0.0,24.0,0.0,18.0,59.0,2.0,0.0,21.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae,263.0,129.0,23.0,163.0,182.0,37.0,154.0,130.0,484.0,475.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Sporichthyaceae,0.0,205.0,26.0,129.0,121.0,194.0,96.0,45.0,0.0,41.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae,0.0,9.0,0.0,7.0,0.0,20.0,45.0,8.0,14.0,0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__PeM15;f__PeM15,8.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,0.0,12.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__uncultured,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,10.0
d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae,0.0,1.0,1.0,4.0,10.0,35.0,0.0,1.0,1.0,3.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae,0.0,10.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae,188.0,172.0,152.0,365.0,356.0,1349.0,178.0,121.0,189.0,263.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae,32.0,23.0,27.0,26.0,52.0,126.0,29.0,35.0,14.0,13.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae,0.0,0.0,8.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae,34.0,43.0,75.0,77.0,82.0,94.0,262.0,139.0,71.0,218.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae,12.0,70.0,0.0,34.0,90.0,55.0,43.0,45.0,16.0,5.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,31.0,369.0,837.0,429.0,212.0,586.0,159.0,58.0,806.0,204.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__NS9_marine_group,0.0,14.0,0.0,17.0,10.0,11.0,14.0,10.0,0.0,4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__NS11-12_marine_group,0.0,35.0,0.0,0.0,45.0,79.0,28.0,10.0,2.0,8.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17,7.0,0.0,0.0,0.0,172.0,30.0,31.0,74.0,0.0,13.0
d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae,0.0,0.0,35.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__uncultured,24.0,0.0,0.0,43.0,0.0,11.0,11.0,0.0,2.0,0.0
d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Silvanigrellales;f__Silvanigrellaceae,14.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,2.0,0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae,0.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast,134.0,55.0,20.0,77.0,71.0,39.0,412.0,120.0,102.0,476.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae,217.0,28.0,171.0,0.0,15.0,35.0,692.0,0.0,15.0,13.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae,21.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,19.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,0.0,0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,23.0,0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Sporomusaceae,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae,0.0,0.0,32.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0
d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Moranbacteria;f__Candidatus_Moranbacteria,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae,32.0,0.0,33.0,4.0,0.0,73.0,41.0,0.0,2.0,0.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae,223.0,197.0,97.0,106.0,216.0,229.0,558.0,39.0,85.0,356.0
d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae,262.0,48.0,2.0,188.0,33.0,39.0,43.0,28.0,51.0,74.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,0.0,4.0,0.0,3.0,0.0,3.0,0.0,3.0,11.0,0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis,48.0,12.0,44.0,91.0,50.0,41.0,47.0,0.0,94.0,119.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,0.0,11.0,75.0,55.0,0.0,23.0,303.0,0.0,12.0,52.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_III,0.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,4.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,0.0,0.0,0.0,0.0,4.0,0.0,37.0,0.0,0.0,7.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,36.0,19.0,73.0,145.0,122.0,47.0,81.0,43.0,13.0,125.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,178.0,959.0,301.0,627.0,581.0,342.0,914.0,2755.0,1300.0,3572.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chitinibacteraceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,223.0,504.0,915.0,969.0,1073.0,480.0,2478.0,1096.0,416.0,1236.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae,34.0,168.0,100.0,172.0,572.0,272.0,132.0,361.0,125.0,794.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae,43.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae,2.0,23.0,6.0,3.0,37.0,27.0,28.0,10.0,18.0,16.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae,41.0,39.0,0.0,2.0,3.0,23.0,24.0,94.0,186.0,135.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,26.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,18.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,18.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family,25.0,5.0,0.0,0.0,40.0,7.0,21.0,23.0,22.0,36.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae,792.0,37.0,0.0,2224.0,188.0,12.0,193.0,15.0,20.0,73.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae,68.0,20.0,0.0,37.0,138.0,8.0,35.0,156.0,70.0,132.0
