,feature,shapiro_pval,shapiro_pval_log,shapiro_pval_exp,tt_pval
0,0,1.662278468533821e-16,1.662278468533821e-16,1.662278468533821e-16,
1,1,0.00011274905409663916,8.913710189517587e-05,0.00012269573926459998,
2,2,1.1108412106830556e-10,9.416834673148244e-11,1.2518129588467986e-10,
3,3,4.833733555642539e-07,5.670210612152005e-07,4.0262034417537507e-07,
4,4,3.054243746802854e-09,2.164746382149474e-09,3.965394235194708e-09,
5,5,2.2722529004101012e-17,2.2722529004101012e-17,2.2722529004101012e-17,
6,6,0.010060980916023254,0.002972646616399288,0.01326847169548273,
7,7,1.561462514843015e-09,1.535281568543212e-09,1.5593162316918097e-09,
8,8,2.4266678337880876e-06,1.6876564359336044e-06,3.0523219720635097e-06,
9,9,0.00020184593449812382,0.0002732579014264047,0.00013927376130595803,
10,10,0.0004071285657119006,0.00022482019267044961,0.0005295523442327976,
11,11,9.214422274106917e-18,9.214422274106917e-18,9.214422274106917e-18,
12,12,1.4587310250037942e-17,1.4587310250037942e-17,1.4587310250037942e-17,
13,13,9.529487954296201e-08,7.4024079310675e-08,1.1384280185211537e-07,
14,14,0.0007511776639148593,0.00045348057756200433,0.0008151230867952108,
15,15,1.155557744804655e-19,1.155557744804655e-19,1.155557744804655e-19,
16,16,5.722983898387968e-18,5.722983898387968e-18,5.722983898387968e-18,
17,17,0.00043665943667292595,0.0003897818096447736,0.00041994627099484205,
18,18,0.003010890446603298,0.00039477640530094504,0.005265124142169952,
19,19,2.1599050673004605e-12,2.1037800407991414e-12,2.1918679978666367e-12,
20,20,0.0009364743018522859,0.0012847402831539512,0.0006102424231357872,
21,21,4.631298222900696e-16,4.631298222900696e-16,4.631298222900696e-16,
22,22,0.00016867415979504585,0.0001362234470434487,0.000176368877873756,
23,23,1.5024260164864245e-06,1.247782051905233e-06,1.6492114127686364e-06,
24,24,1.1486049958375766e-11,1.0623002477672117e-11,1.2156524051287754e-11,
25,25,3.2261054002447054e-05,1.581364995217882e-05,4.970261943526566e-05,
26,26,1.4604448779209633e-06,1.5623870694980724e-06,1.2919232403874048e-06,
27,27,0.0009544594213366508,0.001481337589211762,0.0005500671686604619,
28,28,0.0005542957806028426,0.000384233717340976,0.0006380081176757812,
