KEGG	S8.201.Sed	S8.202.Sed	S9.231.Sed	S9.232.Sed	S10.222.Sed	S10.221.Sed	S11.242.Sed	S11.241.Sed	S12.212.Sed	S12.211.Sed	S13.233.Sed	S13.234.Sed	S14.203.Sed	S14.204.Sed	S15.244.Sed	S15.243.Sed	S16.213.Sed	S16.214.Sed	S17.236.Sed	S17.235.Sed	S18.206.Sed	S18.205.Sed	S19.216.Sed	S19.215.Sed	S20.237.Sed	S20.238.Sed	S21.223.Sed	S21.224.Sed	S22.246.Sed	S22.245.Sed	S23.217.Sed	S23.218.Sed	S24.207.Sed	S24.208.Sed	S25.247.Sed	S25.248.Sed	S26.219.Sed	S26.220.Sed	S27.239.Sed	S27.240.Sed	S28.225.Sed	S28.226.Sed	S29.209.Sed	S29.210.Sed	S30.227.Sed	S30.228.Sed	S31.249.Sed	S31.250.Sed	S32.230.Sed	S32.229.Sed
ko05340	2483.06	3736.83	2464.17	5169.91	1532	3827.08	1253.51	1020.34	1487.42	2411.86	4248.42	2975.26	1981.65	2449.32	1710.5	1787.66	1923.89	1356.4	2626.25	270	771	3223.75	768.5	1262.32	1023.32	1582	2919.06	2255.33	2567.35	3349.01	1786.07	1724.91	4594.74	1875.66	2562.17	1758.5	3511.84	2053.16	2583.34	1639.34	3636.17	1752.4	3215.78	915	2161.42	2342.18	459.5	1422	1820.25	2379.5
ko00564	46002.51	57196.57	45408.79	53418.09	26319.19	48154.75	20198.49	23391.74	28466.03	45094.06	51583.99	42018.07	34767.88	48040.43	35942.34	38575.13	24057.68	28798	36661.37	3909.28	10818.84	58863.78	15153.28	18957.41	18593.02	27766.72	43796.87	39983.12	45801.41	62825.48	25649.19	32711.31	56238.39	25714.71	37396.07	40785.45	63406.26	32410.7	31551.45	33797.53	40885.64	27155.48	47213.81	19846.16	35071.91	74590.35	13378	27340	46199.21	33712
ko00680	73354.01	102558.53	72940.07	98344.53	46407.43	73830	34533.72	36685.22	49388.91	76862.06	78254.22	70647.45	53110.9	84004.08	63481.73	60861.88	39254.13	48000.59	61993.12	6403.41	20575.23	92218.54	24248.91	28744.88	31574.56	46902.59	73085.55	68295.93	77346.67	101502.2	41791.81	55161.62	87578.13	47086.36	61518.72	69498.2	95312.85	61754.96	56757.79	55916.15	71026.29	49635.67	78891.06	33434.77	57784.47	122209.32	23186	49381.5	76141.41	54351.5
ko00562	12921.62	16078.17	12974.68	15092.31	7309.02	15729.52	5643.55	7098.19	7909.47	13133.13	16277.71	12159.02	10947.29	12796.85	9083.47	11612.99	8105.26	7801.81	10122.56	1134.99	3258.47	16609.16	4170.99	5769.6	5663.62	7694.51	14051.64	11659.66	12786.54	17415.64	8463.62	9365.82	16846.3	8151.49	11274.86	10006.52	15324.35	8876.33	9223.2	9050.68	11732	8443.3	13590.11	5299.53	10377.18	18575.19	3248	7561.5	11300.99	9593
ko00563	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko03030	52097.75	67388.46	52935.25	65909.03	32166.21	54512.56	25578.18	27038.22	34579.21	52041.84	58937.28	53035.78	39051.04	56249.04	41198.81	43036.34	27719.82	33117.45	45625.41	4254.27	14604.81	65939.93	17903.77	21500.1	21524.56	34260.23	49626.69	48127.96	54273.36	71854.88	29645.31	38419.76	64221.56	33483.35	44737.41	48496.46	72881.59	40964.24	39629.95	38485.99	51780.99	33801.52	54260.78	23941.69	40668.16	84877.62	16692.5	33267.5	52692.48	38608.5
ko00561	23289.22	31995.86	23597.27	29807.71	14235.97	26598.82	10531.61	11305.04	15404.32	23651.83	29205.86	24297.62	18265.41	25634.66	18137.42	19884.97	13588.89	14543.64	19922.35	1977.64	6812.42	29358.1	8196.64	9678.2	9487.92	14568.86	23767.82	21791.81	25075.07	31150.33	13320.17	16839.57	30237.69	15055.3	19500.71	20458.72	30738.54	16693.68	16950.4	16938.18	23934.16	15809.04	25070.01	10495.08	18789.45	35642.51	6284.5	14820.5	21890.05	17385
ko00440	2725.06	3786	2433.42	3249.49	1371.59	3042.58	812.35	1236.01	1261.75	2241.27	3177.09	2565.51	2046.82	2413.32	1607.99	2348.66	1529.77	1249.29	2626.74	256.33	649.49	3393.33	827.33	1172.14	1005.98	1240.67	2624.12	2039.33	2085.35	3400.43	1465.48	1176.66	3800.65	1383.5	2121.67	2003.18	4017.35	1289.83	1614.34	1395.68	2361.83	1320.82	2392.69	1019.01	1874.51	3227.35	528	1170	2015.66	1867
ko00250	76990.24	100060.8	76317.49	98762.58	48799.16	80159.46	37992.25	38575.92	51191.96	78340.14	88106.88	75191.09	55860.58	84201.23	60203.26	62283.68	41613.15	47259.82	61204.2	6139.42	21665.76	95321.69	25303.42	31119	31422.16	48894.58	74421.56	71879.25	79379.6	104006.94	43739.66	55406.16	94018.15	50954.99	66197.57	68892.34	100692.56	61265.24	59810.32	55477.52	75542.17	52207.15	80243.68	33905.24	58608.07	117855.92	23707	50391	72979.34	56000.5
ko00740	18090.1	23414.87	18046.09	24255.98	10628.79	19055.88	8192.89	9200.02	11442.6	17956.4	19934.9	16244.18	13730.79	19075.15	13906.94	15134.83	9688.74	11035.62	14306.69	1663.48	4942.94	22954.04	5806.48	7093.92	7335.96	10943.52	17877.14	16318.82	18143.52	24545.2	10215.46	12697.5	22533.3	10983.17	15260.69	16094.21	25874.86	13344.52	12837.87	12823.17	16404.99	11151.17	18042.02	7703.06	13259.69	27788.99	5736	11044	17544.13	13414
